"","AMBI","microgAMBI","PI","PI5yAvg","PI10yAvg","Redox","Redox5yAvg","Redox10yAvg","OM","OM5yAvg","OM10yAvg"
"Thiomicrospira",0,0,0,63.65,48,0,0,0,0,0,0
"endosymbionts",0,0,80.22,71.71,74.59,80.82,73.13,74.65,65.19,63.9,68.43
"Acidibacter",72.08,74.84,0,76.75,78.45,0,61.84,78.72,77.69,63.76,74.75
"Candidatus Competibacter",72.88,81.87,71.82,69.57,69.13,65.85,75.49,72.97,63.81,76.17,74.34
"Steroidobacter",65.15,64.56,0,57.62,67.72,0,55.34,64.19,49.12,62.65,60.08
"Stenotrophomonas",50.91,62.67,0,56.09,56.09,0,40.03,54.99,48.09,49.16,47.25
"Pseudoxanthomonas",63.13,78.11,60.73,57.27,56.53,57.1,61.15,76.25,60.45,68.09,70.38
"Aquimonas",0,0,35.63,36.72,38.57,49.35,43.24,40.22,0,37.25,0
"Arenimonas",82.33,86.67,79.83,82.18,78.82,0,71.63,86.81,65.97,81.42,78.77
"Luteibacter",0,0,0,0,0,0,0,0,0,0,0
"Dokdonella",68.47,73.63,0,55.54,56.15,0,62.45,72.88,57.12,68.06,70.06
"Arenicella",72.13,81.94,73.36,66.31,84.5,57.59,76,74.06,83.24,66.19,82.13
"Oleiphilus",0,0,0,0,0,67.53,0,0,0,0,0
"Halomonas",66.61,66.68,0,0,59.33,0,0,0,0,0,0
"Alcanivorax",0,0,55.38,56.65,55.41,57.77,53.69,56.43,53.78,51.47,0
"Kangiella",84.26,0,0,78.57,80.79,0,77.23,80.01,0,79.12,75.17
"Marinobacterium",75.89,71.01,65.1,63.4,63.39,57.8,69.59,62.3,0,70.01,66.17
"Marinomonas",0,37.54,0,0,0,0,0,0,0,0,0
"Thalassolituus",0,37.68,0,0,0,0,0,0,0,0,0
"Pseudohongiella",72.61,76.14,0,61.5,0,0,68.9,66.4,66.08,68.76,67.06
"Reinekea",66.76,0,0,0,0,0,0,72.09,0,0,0
"Oceanospirillum",0,0,0,35.08,39.51,0,0,0,0,0,0
"Neptunomonas",0,35.17,0,0,0,0,0,0,0,0,0
"Oceanobacter",0,25.61,0,0,0,0,0,0,0,0,13.29
"Oleispira",0,0,37.01,50.9,47.47,0,0,57.2,0,0,0
"Oceaniserpentilla",0,0,46.81,0,0,0,0,0,0,0,0
"Motiliproteus",80.17,0,59.45,65.97,63.07,60.36,60.4,58.58,58.35,55.01,62.59
"Endozoicomonas",0,0,33.74,28.27,37.46,29.04,27.61,35.15,0,0,0
"Vibrio",0,72.98,0,0,0,62.02,0,59.04,57.95,0,0
"Photobacterium",0,63.05,56.72,0,0,65.14,0,0,0,0,0
"Thiohalocapsa",45.02,0,48.25,49.94,52.91,0,0,0,0,0,0
"Rheinheimera",0,56.14,61.79,55.38,58.61,53.82,52.49,54.59,0,0,0
"Thiocapsa",0,27.15,28.91,49.76,43.61,0,0,21.27,0,0,0
"Lamprocystis",57.05,64.53,69.9,70.59,67,66.23,68.61,70.21,59.05,69.06,67.17
"Thiohalobacter",26.81,36.62,0,22.58,20.9,26.01,67.31,45.69,16.67,26.98,33.93
"Thiogranum",69.36,77.68,0,0,0,0,0,0,60.69,72.2,69.3
"Thioalkalispira",0,0,0,0,0,0,0,0,0,0,0
"Granulosicoccus",77.52,85.13,72.05,77.1,82.93,75.67,84.23,82.79,79.65,84.23,83.02
"Aeromonas",57.34,71.05,45.9,0,0,0,0,0,0,0,0
"Legionella",0,66.99,60.29,0,0,0,0,0,0,0,0
"Coxiella",62.26,59.18,0,0,0,0,0,0,0,62.71,0
"Aquicella",0,0,60.58,61.44,59.42,68.64,0,0,0,0,0
"Rickettsiella",0,0,0,0,0,0,0,0,0,0,0
"Halioglobus",74.8,73.87,0,0,0,0,75.85,0,81.93,73.85,73.05
"Haliea",0,72.73,73.34,68.1,68.48,79.59,69.11,69.27,73.69,65.01,64.57
"OM60(NOR5) clade",0,83.45,65.22,0,65.02,64.8,0,0,61.46,0,0
"Parahaliea",79.02,0,74.46,68.56,68.95,83.17,83.4,82.28,72.04,65.58,64.96
"Marimicrobium",59.25,0,0,0,0,57.29,0,61.78,71.45,61.96,0
"Cellvibrio",74.16,70.09,0,0,0,0,0,0,0,0,63.55
"Simiduia",0,0,0,0,0,0,0,0,0,0,0
"Candidatus Endobugula",40.28,60.27,43.86,49.21,52.96,44.46,50.38,54.26,0,44.31,50.36
"SAR92 clade",0,0,0,0,0,0,0,0,0,0,0
"Porticoccus",0,74.08,55.96,67.22,68.19,70.61,73.63,76.96,63.96,59.26,78.65
"C1-B045",0,0,74.71,71.92,73.28,70.14,70.83,69.8,64.19,69.97,70.26
"Microbulbifer",0,57.89,62.21,49.49,59.55,0,41.55,52.46,42.44,48.34,52.01
"Dasania",0,57.98,60.31,51.76,55.16,62.4,0,54.03,48.84,45.48,0
"BD1-7 clade",0,0,62.71,0,0,60.67,0,57.77,0,0,0
"Methylomonas",56.85,59.55,0,0,0,0,0,0,0,45.4,51.97
"Methylobacter",66.09,0,0,0,0,0,0,0,0,0,53.82
"Methylomarinum",41.13,29.4,0,0,0,0,43.89,31.95,65.3,99.14,44.15
"Crenothrix",65.51,67.53,52.91,0,0,0,0,0,0,60.43,58.52
"Sulfurifustis",0,66.24,0,0,0,71.01,57.87,0,62.08,0,0
"Sedimenticola",0,71.22,0,0,0,0,0,0,0,0,0
"Marinicella",71.5,72.64,0,62.57,0,0,0,0,65.5,65.11,64.58
"Thiohalophilus",80.28,80.63,0,0,0,0,73.92,0,67.17,70.75,68.62
"Thioprofundum",58.86,47.48,0,0,0,0,94.8,0,0,0,33.8
"Desulfovibrio",62.54,68.39,66.71,66.86,68.08,68.37,72.13,70.79,71.1,73.52,72.48
"Desulfomicrobium",62.36,76.56,0,51.36,57.79,56.69,57.2,66.1,61.22,64.53,60.49
"Deferrisoma",0,65.39,0,0,0,0,0,0,0,0,0
"Peredibacter",0,0,0,0,68.96,0,0,0,0,0,0
"Halobacteriovorax",0,0,57.11,53.65,56.74,59.18,53.86,55.31,50.94,52.5,68.79
"Bacteriovorax",0,56.04,46.8,0,0,50.21,0,0,0,48.01,0
"Bdellovibrio",0,0,69.35,0,0,0,0,0,0,72.3,0
"OM27 clade",0,67.69,63.29,65.36,63.45,62.37,62.4,62.91,62.38,66.13,66.06
"Anaeromyxobacter",83.87,75.3,0,0,81.75,0,0,82.13,0,76.1,73.24
"Sandaracinus",0,71,72.71,65.42,67.44,62.63,67.06,68.14,65.72,67.08,67.86
"Sorangium",66.04,64.45,0,0,0,0,55.22,0,0,0,57.82
"Polyangium",51.58,29.12,0,0,0,30.28,0,0,0,0,0
"Aetherobacter",36.58,27.52,0,0,0,0,0,0,0,0,0
"Enhygromyxa",0,0,0,0,0,0,0,0,0,0,0
"Nannocystis",0,0,0,0,0,0,53.51,53.31,53.03,56.77,52.86
"Pseudenhygromyxa",0,0,0,0,17.5,0,0,0,0,19.3,19.05
"Haliangium",0,58.64,58.84,57.82,0,58.96,56.31,66.34,59.56,60.86,57.77
"Phaselicystis",87.11,82.01,71.76,68.12,69.33,73.32,81.2,84.08,72.57,74.95,81.8
"Geobacter",81.31,80.75,0,0,0,0,0,88.18,0,79.63,84.15
"Geopsychrobacter",0,59.68,0,56.97,0,0,61.33,52.58,0,0,57.53
"Geothermobacter",72.76,78.39,75.36,70.49,67.22,74.42,84.18,76.66,68.53,67.2,67.58
"Desulfuromusa",0,71.2,70.24,78.82,78.99,0,68.03,64.78,0,0,80.94
"Pelobacter",0,0,47.2,67.96,57.95,0,0,0,0,60.96,59.82
"Desulfuromonas",0,73.76,0,76.65,84.34,0,77.19,0,0,0,0
"Desulfobacter",57.49,69.89,71.61,74.85,83.86,67.94,69.98,72,69.51,72.75,71.65
"Desulfosarcina",85.5,82.88,62.57,69.45,71.42,67.29,87.34,85.49,0,75.23,74.02
"Desulfococcus",81.28,85.42,72.98,75.32,79.48,86.08,80.35,79.11,76.09,75.87,77.03
"Desulfatitalea",71.38,82.55,64.39,58.93,62.6,68.34,72.37,75.76,58.21,56.23,70.71
"Sva0081 sediment group",69.58,75.65,0,71.41,0,0,0,0,0,61.93,0
"Desulforegula",0,28.72,0,0,0,0,0,0,0,0,0
"Desulfatirhabdium",73.24,82.05,65.45,69.44,73.09,65.72,72.04,78.42,72.79,77.93,79.91
"Desulfatiferula",49.04,60.92,42.01,56,58.86,54.08,56.68,62.24,53.9,61.03,58.19
"SEEP-SRB1",0,0,0,0,65.19,74.22,67.95,75.08,70.47,79.19,73.86
"Desulfobacterium",57.26,71.97,64.34,68.75,73.33,67.67,71.12,72.62,65.02,67.15,67.73
"Desulfofaba",0,0,59.11,65.61,71.2,64.09,55.9,57.61,44.13,51.8,52.08
"Desulfoconvexum",90.34,87.46,85.45,83.07,82.6,71.97,77.17,87.32,82.97,87.98,83.33
"Desulfobulbus",0,72.37,70.82,66.94,67.95,74.31,65.51,66.77,64.76,78.9,77.35
"MSBL7",0,0,91,73.37,68.78,0,63.34,66.74,0,0,0
"Desulfurivibrio",0,0,0,0,0,72.88,0,0,80.77,70.21,0
"[Desulfobacterium] catecholicum group",78.94,78.13,0,0,0,0,60.69,79.76,0,70.85,69.82
"Desulforhopalus",90.01,82.05,76.6,77.41,71.17,79.22,76.86,73.03,69.57,70.48,74.93
"Desulfopila",0,0,69.83,70.93,71.49,73.29,77.41,70.54,71.4,72.37,68.26
"SEEP-SRB4",76.54,82.3,79.89,80.42,79.78,82.92,74.69,74.41,75.41,74.63,73.99
"Desulfocapsa",0,77.22,0,0,0,0,73.66,79.13,0,0,68.94
"Desulfofustis",0,21.03,0,17.48,17.69,0,0,18.39,0,0,0
"Desulfatiglans",73.08,78.38,74.39,72.54,70.46,78.98,72.92,77.55,71.91,69.33,72.5
"Smithella",0,97.66,86.2,98.78,83.25,53.52,64.77,0,56.15,67.14,62.9
"Desulfobacca",56.4,57.15,0,0,0,0,0,0,0,59.16,63.92
"Syntrophus",63.2,65.59,0,0,0,0,0,66.12,59.83,58.21,59.99
"Syntrophobacter",0,44.88,0,0,0,0,0,0,0,0,0
"Pseudobacteriovorax",0,44.49,0,0,0,0,38.15,37.71,0,33.96,34.48
"Mariprofundus",64.66,76.39,61.11,63.34,63.65,67.65,67.84,65.03,57.05,61.14,64.49
"Ca. Tenderia",0,72.83,0,0,0,0,59.83,70.58,67.65,62.8,57.87
"Faecalibacterium",0,71.24,48.88,57.74,53.73,52.44,53.27,54.85,54.62,55.33,53.08
"Ruminococcaceae UCG-005",0,56.38,0,0,0,52.17,0,0,0,0,0
"Ruminococcus 2",0,60.85,0,53.25,51.4,0,53.31,44.07,0,44.08,0
"Ercella",0,43.36,69.85,57.75,33.63,35.91,78.17,36.25,41.74,47.31,42.98
"Christensenellaceae R-7 group",68.86,83.88,67.14,67.84,68.09,70.4,70.86,78.65,71.64,75.7,71.21
"Clostridium sensu stricto",0,0,0,0,0,62.27,0,0,60.58,60.51,0
"Sedimentibacter",0,42.28,0,0,0,0,32.81,0,33.4,37.08,34.11
"[Eubacterium] brachy group",63.77,71.4,58.88,49.85,54.76,47.6,51.04,67.06,67.96,61.27,65.23
"Anaerovorax",58.02,76.92,56.07,56.2,54.24,49.77,56.69,57.96,59.41,65.84,56.45
"Syntrophomonas",0,36.34,0,0,36.68,0,74.17,50.3,0,42.27,38.48
"Defluviitaleaceae UCG-011",50.01,63.52,54.96,53.96,53.48,58.19,58.57,56.66,63.79,57.89,56.62
"Fusibacter",92.39,89.39,83.42,73.37,75.73,69.62,77.12,83.05,81.68,78.68,81.44
"Acidaminobacter",43.47,54,0,0,0,0,38.6,41.25,38.03,0,37.52
"Dethiosulfatibacter",0,75.19,72.81,73.99,70.43,40.84,88.49,68.01,39.22,48.58,47.52
"Bacillus",0,60.57,67.66,65.9,0,66.47,63.41,56.07,67.32,68.28,61.11
"Trichococcus",0,78.79,0,74.5,72.59,0,69.62,66.62,0,0,0
"Atopostipes",0,0,26.7,0,0,40.75,0,0,0,0,0
"Facklamia",0,0,0,0,0,0,0,0,0,0,0
"Erysipelothrix",73.58,79.55,0,0,0,0,63.11,72.39,0,70.32,70.61
"Turicibacter",0,0,0,58.95,0,74.81,0,0,61.12,65.36,63.91
"Acholeplasma",55.45,71.29,0,57.72,60.85,52.74,55.18,65.78,56.15,66.7,60.71
"Calothrix",50.84,45.97,0,31.03,0,0,0,0,0,0,0
"Rivularia",0,0,32.01,35.86,29.26,39.34,21.89,23.8,0,23.58,23.56
"Cyanobacterium",30.59,43.17,52.48,59.4,56.51,26.89,40.43,38.51,41.39,43.03,42.79
"Planktothricoides",0,0,0,38.7,39.55,29.97,0,0,30.89,0,0
"Phormidium",42.42,49.16,0,0,0,27.36,0,0,0,0,0
"Oscillatoria",0,0,0,11.46,11.36,0,11.38,0,0,0,0
"Microbacterium",67.27,73.11,66.09,67.88,67.55,62.76,71.48,75.89,60.69,70.43,64.38
"Leucobacter",61.36,69.43,53.85,68.81,59.14,63.95,66.41,63.73,62.74,61.37,60.72
"Candidatus Aquiluna",0,0,0,27.72,19.69,0,0,0,0,0,0
"Tetrasphaera",0,46.85,0,40.05,51.92,0,57.48,39.48,0,37.89,34.98
"Demequina",48.67,48.65,52.39,47.68,47.06,43.82,36.16,42.08,45.3,39.37,47.38
"Gordonia",0,42.14,0,48.99,43.63,0,43.65,45.97,0,43.08,44.28
"Mycobacterium",61.2,73.7,81.11,81.15,79.82,73.37,77.89,81.07,71.06,73.66,73.34
"Fodinicola",77.57,82.03,61.01,64.58,84.55,0,66.11,83.42,0,85.47,67.79
"Bifidobacterium",72.88,70.18,0,63.41,63.67,0,70.17,64.86,0,66.75,59.05
"Nocardioides",0,58.19,0,0,0,64.51,0,0,62.15,0,0
"Aeromicrobium",70.77,57.14,52.87,64.02,58.02,52.44,68.23,63.85,56.68,68.41,58.29
"Streptomyces",0,0,62.11,0,0,60.39,54.88,50.27,54.62,58.23,54.32
"Solirubrobacter",0,0,0,0,0,48.89,0,0,0,0,0
"Gaiella",0,77.37,0,0,0,65.05,0,75.21,0,0,0
"Ilumatobacter",70.31,75.41,74.75,71.27,75.97,74.28,76.42,75.62,75.78,76.85,78.07
"Candidatus Microthrix",0,0,0,0,0,0,0,0,68.83,0,0
"Iamia",62.51,74.74,0,56.81,70.69,0,0,71.81,65.12,61.65,63.37
"Euzebya",55.82,46.28,68.71,47.19,53.84,46.42,43.83,42.67,61.02,72.59,50.5
"Anaerolinea",57.46,74.28,0,0,58.71,0,60.56,72.89,62.35,63.66,65.34
"Leptolinea",60,54.36,0,45.06,61.19,0,0,51.46,41.03,48.19,46.65
"Anaerolineaceae UCG-001",67.85,48.58,33.75,35.19,37.73,33.24,36.18,38.26,45.29,46.29,43.17
"Pelolinea",67.73,71.7,74.17,74.97,72.26,66.68,69.39,75.17,71.4,69.96,70.92
"Thermomarinilinea",57.24,76.91,67.25,66.63,68.62,73.85,71.68,69.17,68.03,69.86,66.85
"Roseiflexus",52.3,52.35,0,35.34,50.87,37.27,0,44.39,0,0,0
"Meiothermus",0,22.23,0,0,0,0,0,0,0,0,0
"Truepera",77.37,73.89,65.92,70.31,72.2,73.5,74.78,78.97,76.24,77.86,78.07
"Armatimonas",0,28.2,0,0,0,0,0,0,21.03,0,0
"Spirochaeta",63.85,72.29,71.81,70.05,73.32,71.97,71.52,73.59,70.01,71.69,72.05
"Pir4 lineage",0,70.99,0,0,0,0,0,0,0,0,0
"Rhodopirellula",72.49,85.78,82.52,80.8,78.19,71.73,77.26,75.82,74.38,77.09,77.17
"Blastopirellula",76.96,84.6,71.5,77.7,80.02,76.61,82.22,81.81,80.39,83.55,83.07
"Gemmata",72.59,74.49,0,0,0,0,0,78.99,0,68.9,72.86
"Schlesneria",52.16,50.04,0,0,0,0,0,0,0,44.44,44.62
"Planctomyces",0,65.34,63.86,62.91,62.45,60.42,59.52,79.24,60.74,63.64,64.14
"Pirellula",0,0,67.13,66.02,65.86,61.59,0,77.69,59.09,73.03,71.94
"Bythopirellula",67.65,84.45,68.39,71.01,78.47,66.93,82.29,79.88,76.66,82.52,78.28
"Candidatus Scalindua",56.7,75.41,47.65,44.71,53.33,48.37,60.09,57.29,49.75,57.78,52.28
"Urania-1B-19 marine sediment group",78.81,87.21,80.88,74.2,71.11,73.2,79.62,79.57,73.02,80.28,83.34
"Pelagicoccus",60.78,75.42,63.1,52.78,61.24,50.86,55.3,64.04,49.54,55.71,56.62
"Lentimonas",65.25,86.69,80.12,70.65,85.22,66.02,78.27,77.32,67.84,86.86,87.4
"Opitutus",76.55,75.62,0,0,0,0,0,74.77,67.57,73.73,70.32
"Alterococcus",0,0,43.55,46.82,0,47.82,0,0,0,0,0
"Haloferula",85.14,90.03,0,0,0,0,76.36,0,65.79,79.12,0
"Prosthecobacter",61.81,64.41,0,0,0,0,0,0,0,0,51.52
"Luteolibacter",76.53,78.01,0,0,0,0,73.87,77.47,61.58,67.58,72.65
"Roseibacillus",72.27,82.97,67.33,78.3,78.27,62.93,71.36,73.11,64.39,70.95,77.72
"Persicirhabdus",0,60.2,0,0,0,0,0,49.45,0,0,0
"Rubritalea",0,69.81,0,71.46,72.47,0,70.78,68.37,0,76.12,71.89
"Chthoniobacter",86.13,79.78,0,0,0,0,0,79.81,73.29,76.54,75.96
"Candidatus Xiphinematobacter",0,75.76,0,0,0,0,60.58,74.22,0,0,0
"Lentisphaera",42.24,65.49,39.9,55.27,58.69,0,54.76,57.04,39.07,53.32,65.1
"Arcobacter",76.72,86.24,0,76.43,0,0,76.84,78.05,75.89,76.7,0
"Sulfurospirillum",0,74.83,0,0,61.2,0,47.31,0,0,0,0
"Sulfurimonas",0,78.08,69.32,67.29,66.97,70.55,66.87,68.69,64.72,68.97,65.93
"Sulfuricurvum",85.96,83.22,72.38,0,0,83.39,0,0,0,0,0
"Sulfurovum",78.39,82.99,82.98,85.01,86,87.23,85.14,84.22,84.47,86.86,84.85
"Thermovirga",0,65.76,99.42,65.86,65.86,41.07,57.62,59.37,45.74,39.6,38.43
"Stenotrophobacter",72.65,58.94,0,0,0,0,0,59.03,0,0,53.43
"Blastocatella",74.65,74.39,79.03,74.84,76.15,87.4,82.4,80.23,79.44,81.48,81.18
"Candidatus Koribacter",46.64,47.18,0,38.88,39.47,0,47.18,41.81,40.56,53.03,77.25
"Acanthopleuribacter",58.62,0,68.1,72.31,68,68.63,60.69,71.87,65.9,69.31,67.73
"Thermotomaculum",58.84,27.13,43.76,52.15,48.11,76.01,40.12,60.16,42.14,67.74,64.04
"Bryobacter",74.55,62.82,0,0,59.44,52,59.52,64.28,63.75,60.84,68.79
"Paludibaculum",55.39,59.65,0,59.53,56.05,0,51.49,59.46,47.99,61.99,60.84
"Propionigenium",0,0,64.99,68.85,71.51,74.93,76.24,74.78,66.21,73.94,70.18
"Leptotrichia",0,68.43,0,43.15,0,0,0,0,0,0,0
"Ca. Entotheonella",63.47,79.69,85.74,70.66,78.78,86.02,78.71,77.95,73.69,66.78,77.33
"Nitrospina",78.21,79.85,0,51.78,0,57.74,69.99,78.19,59.13,67.97,74.17
"Nitrospira (Nitrospiraceae)",64.21,67.38,75.41,67.9,68.7,72.7,69.36,67.39,69.5,69.57,68.31
"Methanobrevibacter",0,36.85,54.54,49.67,56.35,0,78.8,55.54,0,0,0
"Methanolinea",0,0,33.32,0,0,0,0,0,0,0,0
"Methanogenium",0,0,49.79,59.87,0,0,0,39.92,0,0,0
"ANME-3",0,43.3,61.36,49.27,32.08,33.28,39.49,59.64,0,19.43,25.31
"Methanosaeta",0,28.5,30.07,26.72,0,16.72,0,19.47,19.67,0,0
"Ca. Nitrosoarchaeum",0,0,70.27,0,62.68,82.3,0,0,0,0,0
"Cenarchaeum",55.7,86.92,40.99,35.45,48.76,42.91,64.69,87.59,35.78,51.79,45.27
"Ca. Nitrosopumilus",88.39,85.27,77.76,69.15,65.84,79.96,78.96,86.4,77.13,85.74,82.11
"Flexibacter litoralis DSM 6794",0,32.75,0,0,31.05,26.9,0,0,0,0,0
"Flavobacterium cheniae",47.93,63.68,0,0,0,0,0,0,0,39.6,43.38
"Tenacibaculum dicentrarchi",0,0,0,0,0,0,0,0,0,0,0
"Maribacter chungangensis",38.47,37.19,0,29.58,34.89,35.85,36.88,50.01,38.79,92.02,36.3
"Muriicola jejuensis",0,35.84,0,30.08,33.4,30.07,37.65,36.49,27.68,42.55,38.22
"Tepidiphilus succinatimandens",0,0,0,0,0,0,0,0,0,0,0
"Sulfurirhabdus autotrophica",0,0,0,0,0,0,0,0,0,0,0
"Pseudoruegeria haliotis",0,59.03,51.06,0,0,49.46,0,0,46.14,0,0
"Sphingomicrobium lutaoense",64.45,43.69,62.92,67.72,96.2,54.6,52.95,51.37,66.14,70.65,78.42
"Arenicella chitinivorans",0,44.39,34.26,50.82,51.69,0,41.43,43.89,0,0,0
"Neptunomonas qingdaonensis",48.27,0,0,0,52.01,50.17,54.88,45.36,60.73,51.77,45.86
"Pseudenhygromyxa salsuginis",28.38,28.66,0,0,0,0,0,0,0,0,0
"Desulfatiferula olefinivorans",47.15,52.06,49.42,61.14,63.65,52.61,62.7,57.45,55.14,57.8,58.97
"Desulfatiferula berrensis",26.66,32.56,0,0,0,23.86,25.16,23.67,24.18,28.16,25.43
"Desulforhopalus singaporensis",76.08,79.2,0,0,73.33,0,0,0,0,0,0
