"","AMBI","PI","PI5yAvg","piMetals","piHC","piOM","Redox"
"Bacteria (superkingdom)",0,65.26,65.38,61.93,67.32,70.59,63.23
"FCB group",0,42.45,47.67,40.95,52.19,36.53,59.4
"Proteobacteria (superphylum)",0,0,0,0,0,0,0
"Terrabacteria",0,63.71,41.22,0,41.4,27.57,30.25
"DTB120",0,40.92,39.26,0,53.55,41.14,0
"PAUC34f",69.54,64.11,61.15,63.61,0,64.97,65.48
"SBR1093",53.58,0,0,0,0,49.51,0
"WS2",66.57,70.45,67.52,62.9,59.93,63.47,62.46
"AC1",46.87,66.31,0,57.2,46.06,52.31,54.57
"FCPU426",0,62.89,65.85,66.18,55.96,63.82,58.51
"TACK",0,0,0,0,0,0,0
"Marine Hydrothermal Vent Group(MHVG)",0,72.24,68.29,71.31,78.39,49.15,62.56
"Bacteroidetes",63.66,63.31,67.1,58.21,63.55,68.23,69.65
"Marinimicrobia (SAR406 clade)",59.62,74.02,73.24,62.87,68.98,73.59,74.22
"Caldithrix phylum incertae sedis",0,63.57,0,58.79,0,0,0
"Ca. Latescibacteria (WS3)",0,62.1,62.11,61.16,64.74,57.15,61.24
"Cloacimonetes",63.13,72.13,70.95,67.62,62.24,79.09,72.84
"Ca. Zixibacteria (RBG-1)",0,74.22,64.29,68.91,68.1,67.21,67.38
"LCP-89",63.95,69.25,65.5,66.27,65.19,72.9,68.35
"Proteobacteria",66.88,64.11,68.74,0,62.52,67.88,65.05
"Chloroflexi",86.47,79.97,81.98,80.61,80.3,83.02,86.82
"WS1",66.26,72.07,68.19,65.67,64.8,68.36,70.43
"Planctomycetes",0,79.71,63.09,79.3,73.21,0,62.68
"Ca. Omnitrophica (OP3)",0,61.82,62.15,61.83,64.49,65.43,68.22
"WA-aaa01f12",0,51.02,52.15,0,0,52.47,55.09
"Acidobacteria",32.29,0,0,0,0,43.94,0
"Ca. Acetothermia (OP1)",71.6,74.64,83.25,69.85,79.98,82.59,83.81
"Ca. Modulibacteria (KSB3)",0,64.94,77.35,68.83,68.18,68.45,76.17
"Ca. Tectomicrobia",0,67.27,63.55,63.5,69.85,59,65.11
"Ca. Hydrogenedentes (NKB19)",66.77,61.99,58.77,57.73,60.72,65.59,66.75
"Ca. Atribacteria",0,84.26,84.4,77.83,88.09,77.55,83.37
"Ca. Saccharibacteria (TM7)",0,64.24,0,0,0,58.92,0
"Ca. Parcubacteria",0,68.68,44.79,64.71,82.59,37.35,46.02
"CPR2",53.34,64.61,58,60.54,60.42,71.09,62.03
"Ca. Microgenomates (OP11)",0,0,0,0,0,0,0
"Ca. Gracilibacteria",0,0,66.74,0,0,72.66,67.81
"Ca. Peregrinibacteria",62.33,65.01,63.49,63.78,66.6,73.17,78.12
"Ca. Absconditabacteria (SR1)",54.55,60.8,58.31,0,0,63.5,56.61
"Poribacteria",0,48.74,43.14,41.98,49.41,48.23,47.73
"Ca. Aminicenantes (OP8)",70.37,76.14,92.77,74.93,76.79,78.68,83.08
"Ca. Dependentiae (TM6)",0,0,63.02,0,0,0,0
"NC10",57.43,64.28,65.68,0,0,58.83,0
"SPAM",71.58,0,79.14,0,0,72.55,0
"BRC1",71.72,78.67,83.76,71.97,0,76.34,75.45
"Marine Benthic Group E",45.11,14.38,14.28,14.41,26.11,18.7,25.41
"Ca. Bathyarchaeota",0,80.38,90.22,0,0,79.48,81.63
"Group C3",0,66.49,56.33,68.44,67.63,59.36,66.42
"Ca. Woesearchaeota",0,59.93,59.55,0,60.36,59.68,65.32
"Ca. Parvarchaeota",44.39,36.56,32.94,0,40.41,36.66,42.59
"Ca. Lokiarchaeota",0,75,0,0,0,63.61,66.45
"Sphingobacteriia",51.16,37.51,44.42,31.99,37.91,32.33,31.22
"Cytophagia",0,0,60.11,0,0,0,0
"Bacteroidia",0,0,0,0,0,56.43,0
"Saprospiria",0,64.5,68.92,67.53,67.39,62.76,68.81
"Chitinophagia",0,57.48,59.67,56.6,52.33,53.75,62.97
"Bacteroidetes VC2.1 Bac22",90.62,83.99,71.67,78.33,76.62,85.89,86.45
"SM1A07",0,0,0,0,0,22.73,0
"SB-5",76.42,88.97,89.99,89.83,62.88,76.32,81.13
"Bacteroidetes BD2-2",75.11,71.57,76.6,67.23,77.13,77.3,83.54
"WCHB1-32",84.99,0,0,0,0,68.78,0
"Bacteroidetes vadinHA17",94.71,90.65,83.9,87.81,0,81.06,67.29
"Ika33",53.11,55.3,51.17,0,45.96,57.1,57.86
"BD2-11 terrestrial group",70.43,69.75,71.17,66.19,67.73,72.12,71.93
"PAUC43f marine benthic group",68.86,62.54,64.17,69.98,0,66.41,62.39
"S0134 terrestrial group",68.39,61.44,58.48,48.41,59.36,60.99,60.16
"MD2902-B12",0,80.8,58.78,64.64,67.67,64.98,67.46
"AKAU4049",66.89,71.59,67.96,65.68,79.76,66.68,82.2
"Fibrobacteria",0,58.36,55.73,0,57.15,61.95,60.38
"Chitinivibrionia",68.02,0,0,0,0,63.66,54.14
"LK-44f",0,0,23.23,15.58,0,0,19.95
"Betaproteobacteria",81.6,0,84.3,0,0,74.74,0
"Alphaproteobacteria",79.06,72.44,74.11,68.91,75.68,75.35,74.22
"Gammaproteobacteria",67.05,66.42,59.51,61.56,0,61.47,60.58
"Deltaproteobacteria",60.2,0,0,0,0,0,0
"Milano-WF1B-44",0,61.31,60.9,0,67.22,0,66.86
"AEGEAN-245",70.38,0,66.28,0,0,69.01,0
"JTB23",79.49,80.61,77.44,68.87,77.71,76.68,79.25
"Ca. Allobeggiatoa",0,0,0,0,0,48.47,47.92
"pItb-vmat-80",61.35,66.31,67.36,64.11,70.51,56.95,67.23
"MACA-EFT26",0,55.98,55.98,55.88,68.77,58.24,69.42
"Skagenf62",0,0,0,0,26.78,54.22,0
"Clostridia",57.97,62.19,58.27,0,0,61.27,57.55
"Mollicutes",36.85,0,41.35,0,0,44.61,42
"Oxyphotobacteria",0,58.34,71.53,61.8,68.93,57.28,57.98
"ML635J-21",74.69,0,0,73.63,0,65.47,66.89
"OPB41",0,80.18,75.87,83.97,75.43,68.82,76.08
"MB-A2-108",0,0,0,0,0,0,73.73
"Dehalococcoidia (subdiv. 6)",0,69.99,64.47,61.69,52.92,50.58,58.61
"Chloroflexi Subdivision 2",0,0,0,0,0,64.58,0
"SBR2076",88.61,89.15,91.02,87.52,0,76.37,73.51
"Chloroflexi Subdivision 5 (SAR202)",81.38,65.76,74.53,57.1,74.89,80.88,74.46
"JG30-KF-CM66",0,64.11,59.64,58.55,69.64,62.95,66.95
"Chloroflexi Subdivision 8 (TK10)",0,58.6,0,53.16,60.56,0,66.84
"Ardenticatenia",66.31,62.48,68.1,66.36,65.22,67.83,66.31
"S085",0,65.16,62.44,62.55,67.69,54.96,62.91
"Chloroflexi Subdivision 13",73.82,86.55,84.17,84.04,82.58,81.84,86.64
"SJA-15",65.2,71.93,63.35,63.29,64.61,65.5,69.5
"MSB-5B2",0,74.32,76.54,68.65,93.53,0,0
"SJA-68",53.85,68.12,65.67,70.52,65.08,58.57,57.1
"Spirochaetia",61.21,65.27,61.24,76.18,61.15,73.82,70.24
"LD1-PA32",49.55,75.36,59.86,72.29,60.69,57.69,83.28
"vadinHA49",70,0,0,0,61.76,0,0
"Phycisphaerae",0,0,0,0,0,59.66,59.7
"Pla3 lineage",74.35,67.2,67.82,67.35,66.68,70.74,72.02
"OM190",68.49,66.24,67.89,61.36,66,69.04,68.73
"Pla4 lineage",0,0,0,0,0,0,0
"BD7-11",70.04,61.61,61.85,62.29,0,62.19,62.44
"028H05-P-BN-P5",61.42,53.87,56.16,47.61,50.67,62.9,59.93
"Opitutae",0,36.69,37.61,26.45,45.76,26.48,31.85
"Ca. Methylacidiphilum",0,44.3,39.65,46.75,39.47,0,0
"OPB35 soil group",68.81,0,0,0,0,69.09,0
"LD1-PB3",62.21,41.1,46.33,46.22,37.1,54,42.03
"WCHB1-41",64.06,62.99,63.93,59.1,67.58,67.8,70.2
"Campylobacteria",0,0,0,0,0,0,23.57
"Subgroup 6",0,0,0,0,66.72,0,94
"Acidobacteria group 2",68.51,72.08,66.75,0,0,62.17,0
"d142",70.31,61.13,59.24,64.12,61.65,62.26,65.51
"Acidobacteria group 21",69.88,64.81,66.18,61.93,64.73,65.19,64.47
"Acidobacteria group 18",0,74.43,64.27,64.39,67.21,65.83,69.21
"Acidobacteria group 9",73.03,69.1,71.49,63.21,68.7,75.86,77.93
"Acidobacteria group 17",0,0,0,0,0,0,0
"AT-s3-28",63.78,70.82,70.11,71.93,60.88,69.16,66.91
"Acidobacteria group 5",0,69.83,66.4,62.29,74.69,65.09,73.91
"Acidobacteria group 13",39.21,0,0,0,0,0,0
"Acidobacteria group 15",0,0,0,0,40.2,0,0
"Acidobacteria group 11",52.64,45.05,0,41.1,46.66,0,61.32
"MD2898-B26",0,0,0,0,0,0,0
"MD2896-B214",53.2,0,0,0,0,0,0
"Belgica2005-10-ZG-3",0,63.55,63.24,67.18,63.79,0,0
"Elusimicrobia (class)",0,45.71,51.62,62.14,64.14,46.26,47.23
"Candidatus Peribacteria",0,54.3,68.6,0,0,0,0
"Halanaerobiales class incertae sedis",49.81,51.69,48.46,47.72,40.96,56.67,47.85
"Thermoplasmata",0,0,0,0,0,0,0
"Pacearchaeota",0,69.04,71.19,65.07,67.36,71.18,69.85
"Deep Sea Euryarchaeotic Group(DSEG)",40.22,0,0,0,0,0,0
"Sphingobacteriales",79.51,0,0,0,0,64.56,61.34
"Cytophagales",71.73,70.67,70.24,71.31,63.75,70.15,68.64
"Bacteroidales",88.39,82.27,72.92,0,0,76.09,78.7
"Bacteroidia Incertae Sedis",56.4,55.89,53.96,0,53.33,62.94,63.26
"Flavobacteriales",0,78.17,0,61.97,71.15,65.76,66.9
"Saprospirales",68.57,67.29,77.03,68.27,72.19,67.75,68.42
"Chitinophagales",0,68.46,73.26,72.86,71.08,64.09,70.54
"Gemmatimonadales",73.32,75.51,77.46,69.48,75.74,77.37,87.13
"Rhodothermales",77.21,80.95,80.85,69.65,80.18,82.71,81.72
"Chlorobiales",72.6,0,58.05,0,0,67.87,57.54
"Fibrobacterales",63.09,68.2,61.88,67.92,64.82,72.07,75.9
"possible order 07",77.85,72.74,69.51,77.89,69.88,73.08,71.1
"Ignavibacteriales",59.17,67.9,64.82,66.32,61.5,59.37,60.72
"Burkholderiales",73.79,0,0,0,56.48,56,0
"SC-I-84",71.23,84.06,92.39,0,0,76.1,0
"TRA3-20",0,73.2,0,64,67.51,0,61.5
"B1-7BS",66.74,0,80.82,0,0,75.31,0
"Rhizobiales",0,0,0,0,61.45,0,67.93
"Rickettsiales",57.81,61.24,66.41,56.69,55.48,54.17,0
"Sphingomonadales",84.12,0,0,0,71.7,0,71
"Rhodospirillales",73.46,71.61,75.66,71.49,75.59,70.15,72.71
"SAR11 clade",56.27,0,0,55.29,0,0,0
"S26-47",0,0,0,0,0,0,0
"Thiotrichales",52.66,56.73,67.93,59.54,0,60,0
"Xanthomonadales",65.73,71.09,70.1,69.28,71.73,70.35,73.41
"Oceanospirillales",63.12,77.89,77.97,62.68,0,61.17,0
"Chromatiales",39.93,37.73,34.67,47.14,32.59,0,31
"Cellvibrionales",60.71,0,53.56,0,56,0,0
"Methylococcales",0,0,0,0,0,0,0
"E01-9C-26 marine group",76.4,77.62,68,72.24,63.93,73.7,70.26
"HTA4",65.39,82.24,73.52,77.38,71.13,62.93,67.46
"KI89A clade",73.53,65.86,70.07,62.38,66.76,72.77,70.14
"Sva0071",0,67.27,66.66,62.62,65.05,0,61.88
"BD7-8 marine group",80.54,76.76,81.98,74.89,74.53,84.36,78.91
"X35",0,54.13,57.74,53.43,0,50.79,51.27
"HOC36",77.14,79.22,81.5,72.88,76.59,76.58,77.24
"1013-28-CG33",0,66.03,0,0,60.89,63.51,65.4
"EC3",67.08,69.75,75.15,66.1,57.82,69.66,61.54
"Run-SP154",64.42,0,0,0,0,66.84,73.53
"PYR10d3",54.66,63.09,61.54,54.83,0,54.8,55.01
"CS-B046",69.29,74.86,75.86,68.23,80.53,75.94,83.48
"SS1-B-09-64",52.23,53.36,53.91,48.24,42.97,41.58,44.6
"CK-1C2-67",38.71,37.39,33.17,51.78,0,46.74,0
"195up",18.57,0,16.17,0,18.31,0,0
"OXIC-003",70.67,0,0,0,0,0,0
"Bdellovibrionales",58.99,59.23,59.72,0,57.5,64.41,0
"Myxococcales",58.48,0,61.87,0,0,56.67,0
"Desulfuromonadales",70.93,89.56,86.96,83.37,0,79.94,0
"Sva0485",0,72.7,70.99,63.42,70.94,73.26,79.03
"Desulfobacterales",68.18,72.4,69.89,87.36,70.06,77,76.93
"Desulfarculales",0,0,0,0,0,0,0
"Bradymonadales",0,0,0,0,0,0,0
"Oligoflexales",64.81,59.26,63.19,64.29,58.47,0,0
"NB1-j",78.27,75.05,77.41,71.54,73.28,78.44,79.97
"SAR324 clade(Marine group B)",65.41,0,56.78,0,0,62.78,61.78
"43F-1404R",65.56,0,0,0,0,76.4,0
"10bav-F6",0,70.28,79.1,67.09,72.16,37.3,43.37
"FW113",41.85,60.08,45.75,57.66,72.64,48.67,51.75
"5m83",73.08,70.51,72.91,65.35,68.78,76.8,78.05
"Clostridiales",71.86,71.93,73.16,77.54,66.55,79.61,70.35
"D8A-2",0,0,0,0,0,21.98,19.03
"Bacillales",58.21,72.37,75.14,64.3,64.65,76.22,72.38
"Mollicutes RF9",66.06,54.41,55.17,54.53,52.35,58.48,50.96
"NB1-n",68.29,87.89,85.22,83.69,70.85,88.31,83.52
"Synechococcales",0,0,0,0,0,0,0
"Nostocales",44.58,0,0,0,0,0,0
"Pleurocapsales",92.82,77.28,94.76,75.93,78.85,83.01,77.66
"Gastranaerophilales",54.39,0,0,0,0,0,0
"PeM15",82.84,66.37,66.74,74.64,65.53,70.06,68.49
"Gaiellales",0,0,0,0,0,61.11,62.45
"Acidimicrobiales",76.46,79.44,79.41,75.9,83.61,83.3,83.54
"Nitriliruptorales",64.01,65.36,73.34,79.23,62.19,67.43,58.51
"vadinBA26",0,68.57,63.04,66.25,69.88,61.98,66.94
"GIF9",59.37,73.71,72.64,74.24,73.02,65.87,63.68
"GIF3",0,82.55,76.74,73.29,72.55,72.37,70.5
"MSBL5",0,89.74,78.65,81.71,77.43,68.22,72.86
"FW22",0,71.5,62.36,57.06,76.36,77.93,92.69
"Napoli-4B-65",34.46,66.08,48.7,55.68,43.58,37.29,39.5
"FS117-23B-02",0,54.44,0,0,65.52,51.64,55.64
"Anaerolineales",58.09,60.04,62.84,64.37,0,0,0
"Chloroflexales",39.87,0,0,0,0,33.97,0
"Ardenticatenales",58.74,55.2,55.14,64.96,64.05,77.19,53.82
"JG30-KF-CM45",0,0,0,0,0,0,0
"AKYG1722",60.92,51.84,53.78,66.12,64.08,71.96,76.17
"KD4-96",0,0,0,0,0,0,65.19
"Gitt-GS-136",0,0,0,0,0,0,0
"Thermoflexales",0,59.62,74.86,34.87,69.69,22.74,22.87
"KD3-62",54.78,62.21,92.09,69.08,79.65,56.25,55.68
"Fimbriimonadales",0,57.84,68.76,53.78,60.34,54.51,51.21
"Spirochaetales",60.26,69.34,66.24,66.19,66.85,66.63,73.65
"Leptospiriales",51.75,61.69,0,0,0,0,50.51
"PL-11B10",62.12,75.13,64.04,0,0,71.58,64.67
"Planctomycetales",59.68,68.89,65.85,65.11,66.93,64.3,66.66
"MSBL9",0,72.42,68.86,65.78,69.05,75.04,80.64
"Phycisphaerales",71.19,68.75,71.16,65.06,68.62,68.34,68.31
"SHA-43",0,81.88,73.85,81.45,74.92,65.69,68.14
"mle1-8",0,82.89,0,76.95,77.32,0,0
"CCM11a",0,0,0,0,74.51,0,0
"KCLunmb-38-53",0,43.94,42.65,37.22,48.58,58.24,58.38
"MSB-3A7 sediment group",73.19,78.13,62.75,75.83,75.24,76.32,84.68
"Pla1 lineage",68.76,77.88,70.35,85.5,74.17,70.69,69.65
"ODP1230B30.09",17.14,48.19,27.18,44.64,44.51,0,0
"C86",75.05,63.81,66.84,68.81,60.73,69.54,71.03
"Opitutae vadinHA64",0,34.18,0,39.86,0,0,0
"Puniceicoccales",65.27,77.57,95.07,56.36,41.27,66.23,0
"Verrucomicrobiales",0,0,0,0,0,59.17,0
"P.palmC41",0,56.94,57.73,0,69,50.42,57.15
"SS1-B-02-17",0,57.61,58.85,0,60.05,62.14,66.67
"Victivallales",65.07,62.72,47.4,43.34,52.38,56.78,0
"R76-B128",0,60.55,61.12,70.43,68.03,66.88,74.06
"MSBL3",42.89,53.88,48.84,57.69,51.46,60.53,56.97
"Campylobacterales",0,46.33,42.55,0,47.86,40.9,45.91
"Desulfurellales",52.22,0,0,0,0,0,0
"Synergistales",0,24.92,24.48,0,22.86,0,0
"Blastocatellales",0,25.72,28.48,22.42,28.14,53.84,48.8
"Acidobacteria group 23",74.75,73.98,73.03,68.65,76.48,74.97,80
"Acidobacteria group 10",77.77,73.18,73.41,62.8,69.44,81.47,75.53
"Acanthopleuribacterales (Acidobacteria group 8)",45.93,0,51.54,0,0,0,53.3
"Acidobacteria group 22",73.24,68.05,69.53,61.95,66.83,73.51,73.16
"Acidobacteria group 26",65.25,65.69,61.39,0,0,61.97,65.95
"Fusobacteriales",67.26,73.33,71.25,0,0,62.86,0
"4-29",0,37.29,23.31,42.13,30.79,27.28,19.5
"Lineage IIb",63.79,0,0,0,0,0,0
"Halanaerobiales",63.25,62.82,66.73,63.21,63.51,65.96,65.35
"Nitrospirales",0,0,0,0,0,0,0
"AMOS1A-4113-D04",70.95,50.29,54.57,43.97,53.68,52.28,50.57
"Marine Benthic Group D and DHVEG-1",63.2,71.97,65.06,72.72,69.16,66.52,65.67
"CCA47",0,47.88,51.94,40.41,63.53,47.42,54.57
"Ca. Nitrosopumilales",81.67,84.19,88.53,81.55,85.73,91.93,91.5
"Nitrososphaerales",0,0,0,0,0,0,0
"NS11-12 marine group",0,0,0,70.27,68.81,0,64.4
"Lentimicrobiaceae",91.12,83.59,76.77,85.93,74.9,85.29,80.96
"PHOS-HE51",0,0,0,0,66.12,69.95,0
"env.OPS 17",73.43,0,0,0,66.33,0,55.96
"KD3-93",57.98,0,0,59.97,53.69,0,0
"ST-12K33",55.34,55.73,60.95,55.91,50.42,64.01,62.14
"AKYH767",65.54,0,0,0,0,59.58,0
"LiUU-11-161",45.89,0,0,0,38.28,39.84,0
"Flammeovirgaceae",0,0,0,0,66.14,63.79,70.29
"Cytophagaceae",0,74.39,0,81,73.43,0,62.1
"Cyclobacteriaceae",0,0,0,0,0,0,43.35
"Catalimonadaceae ",0,66.25,67.19,59.71,74.95,66.91,74.02
"Porphyromonadaceae",74.45,0,0,0,0,56.8,0
"Marinilabiaceae",75.96,75.04,77.58,67.59,71.01,74.63,81.83
"Prolixibacteraceae",56.18,56.23,50.76,0,0,60.11,60.82
"Rikenellaceae",42.33,0,0,0,35.26,42.99,0
"Odoribacteraceae",0,54.83,58.38,0,57.78,63.75,64.32
"Bacteroidales RF16 group",0,0,0,18.89,0,0,19.41
"M2PB4-65 termite group",38.65,0,0,0,0,0,0
"Draconibacteriaceae",78.57,87.81,80.74,93.11,74.72,81.6,85.96
"Flavobacteriaceae",0,61.84,68.5,62.24,70.1,0,0
"Cryomorphaceae",79.28,0,0,58.82,0,0,0
"NS9 marine group",87.15,0,0,0,0,0,0
"Crocinitomicaceae",0,0,0,0,0,67.11,0
"NS7 marine group",58.08,60.13,65.75,53.07,53.11,58.38,51.8
"Haliscomenobacteraceae",0,82.03,72.09,78.18,76.64,79.21,66.74
"Lweinellacea",78.46,70.77,82.61,61.66,80.81,76.34,77.94
"Saprospiraceae",0,69.39,64.49,65.02,69.3,0,60.93
"Chitinophagaceae",75.84,0,0,0,67.1,70.36,0
"BIgi5",0,0,29.27,0,0,24.83,0
"Gemmatimonadaceae",0,66.8,0,70.55,63.82,0,68.89
"Longimicrobiaceae",48.67,36.88,39.9,41.57,83.62,43.38,39.26
"Rubricoccaceae",0,27.78,36.38,22,18.91,31.08,13.9
"SJA-28",82.06,0,0,0,59.82,61.57,0
"OPB56",92.02,87.73,79.77,0,0,73.25,73.61
"09D2Z46",0,53.41,51.54,57.32,49.86,59.68,56.94
"FD035",81.62,77.53,75.84,69.56,74.87,80.58,76.16
"Fibrobacteraceae",65.07,0,0,0,0,66.39,0
"possible family 01",52.02,61.04,57.74,59.71,53.76,63.52,64.78
"Caldithrix family incertae sedis",0,62.05,61.46,63.92,61.44,0,63.66
"BSV26",79.61,0,0,0,63.39,0,0
"PHOS-HE36",0,77.26,73.13,66.51,72.03,62.78,60.62
"IheB3-7",67.47,68.62,63.67,64.05,66.69,62.55,71.03
"Comamonadaceae",84.72,0,0,0,70.96,0,69.47
"Burkholderiaceae",61.69,0,56.93,0,0,51.24,0
"Oxalobacteraceae",71.35,0,77.33,0,0,60.23,0
"Alcaligenaceae",92.73,0,91.53,75.43,60.13,0,0
"Rhodocyclaceae",77.43,0,0,0,72.61,80.33,0
"Nitrosomonadaceae",81.78,0,0,0,70.22,0,0
"Gallionellaceae",82.57,0,0,0,72.8,0,0
