"","AMBI","microgAMBI","PI","PI5yAvg","piMetals","piHC","piOM","Redox"
"Abarenicola.claparedi",0,0,0,0,0,0,0,0
"Abra.alba",0,0,41.94,38.1,32.04,44.83,32.06,28.62
"Abra.prismatica",0,0,0,0,0,0,0,0
"Abyssoninoe.hibernica",0,0,0,0,0,13.79,0,0
"Acanthocardia.aculeata",0,0,0,0,0,0,0,0
"Acanthocardia.paucicostata",0,0,0,0,0,0,0,0
"Acanthocardia.tuberculata",0,0,0,0,0,0,0,0
"Achelia.echinata",0,0,0,0,0,0,0,0
"Acrocnida.brachiata",0,0,0,0,0,0,0,0
"Acteon.tornatilis",0,0,0,0,0,0,0,0
"Alkmaria.romijni",0,47.04,0,0,0,47.17,0,46.34
"Allomelita.pellucida",0,0,0,0,0,0,0,0
"Ammothella.longipes",0,0,0,0,0,0,0,0
"Ampelisca.brevicornis",0,0,0,0,0,0,0,0
"Ampelisca.cavicoxa",0,0,0,0,0,0,0,0
"Ampelisca.sarsi",0,0,0,0,0,0,0,0
"Ampelisca.tenuicornis",0,0,0,0,0,0,0,0
"Ampharete.finmarchica",0,0,0,0,0,0,0,0
"Amphipholis.squamata",0,0,0,0,0,0,0,0
"Anapagurus.hyndmanni",0,0,0,0,0,0,0,0
"Angulus.pygmaeus",0,0,0,0,0,0,0,0
"Anomia.sp.",0,0,0,0,0,0,0,0
"Anomiidae",0,0,0,0,0,0,0,0
"Antalis.novemcostata",0,0,0,0,0,0,0,0
"Anthozoa",0,0,0,0,0,0,0,0
"Anthura.gracilis",0,0,0,0,0,0,0,0
"Anurida.maritima",0,0,0,0,0,0,0,0
"Aonides.oxycephala",0,0,22.34,19.05,18.6,23.15,0,56.62
"Aonides.paucibranchiata",0,0,0,0,0,0,0,0
"Aoridae",0,0,0,0,0,0,0,0
"Aphelochaeta.sp.",0,0,0,0,0,0,0,0
"Aponuphis.bilineata",0,0,0,0,0,0,0,0
"Arenicolidae",0,0,0,0,0,0,0,0
"Aricidea.catherinae",0,0,0,0,0,0,0,0
"Aricidea.cerrutii",0,0,0,0,0,0,0,0
"Aricidea.suecica.meridionalis",0,0,0,0,0,0,0,0
"Armandia.cirrhosa",0,0,22.02,22.58,18.6,23.59,0,0
"Asbjornsenia.pygmaea",0,15.62,0,0,0,0,0,0
"Aspidosiphon.muelleri",0,0,0,0,0,0,0,0
"Austrominius.modestus",0,0,0,0,0,0,0,0
"Autolytus.sp.",0,0,0,0,0,0,0,0
"Autonoe.spiniventris",0,0,0,0,0,0,0,0
"Balanus.sp.",0,0,0,0,0,0,0,0
"Barnea.candida",0,0,0,0,0,0,0,0
"Bathyporeia.elegans",0,0,0,0,0,0,0,0
"Bathyporeia.pelagica",0,0,0,0,0,0,0,0
"Bathyporeia.pilosa",0,0,0,0,0,0,0,0
"Beania.magellanica",0,0,0,0,0,0,0,0
"Bela.nebula",0,0,0,0,0,0,0,0
"Bittium.reticulatum",0,0,0,0,0,0,0,0
"Bivalvia",0,0,0,0,0,0,0,0
"Boccardia.semibranchiata",0,0,0,0,0,0,0,0
"Boccardiella.ligerica",0,0,0,0,0,0,0,0
"Boccardiella.sp.",0,0,0,0,0,0,0,0
"Bodotria.scorpioides",0,0,0,0,0,0,0,0
"Branchiomaldane.sp.",0,0,0,0,0,0,0,0
"Brania.pusilla",0,0,0,0,0,0,0,0
"Brania.sp.",0,0,0,0,0,0,0,0
"Brissopsis.lyrifera",0,0,0,0,0,0,0,0
"Capitella.capitata",61.86,53.55,88.04,92.14,69.78,79.57,71.48,65.79
"Capitella.minima",0,0,0,0,0,0,0,0
"Carcinus.maenas",0,0,0,0,0,0,0,0
"Caulleriella.alata",0,0,0,0,0,0,0,0
"Caulleriella.sp.",0,0,0,0,0,0,0,0
"Cavernularia.pusilla",0,0,0,0,0,0,0,0
"Centraloecetes.kroyeranus",0,0,0,0,0,0,0,0
"Cerastoderma.edule",0,0,0,27.5,0,0,0,0
"Cerastoderma.glaucum",0,0,0,0,0,0,0,0
"Cerastoderma.sp.",0,0,0,0,0,0,0,0
"Cerebratulus.marginatus",0,0,0,0,0,0,0,0
"Cerebratulus.sp.",0,0,0,0,0,0,0,0
"Cerianthus.sp.",0,0,26.09,25.39,0,17.14,0,0
"Chaetozone.gibber",0,0,44.45,49.78,36.26,42.17,36.84,43.11
"Chaetozone.setosa",0,0,0,0,0,0,0,0
"Chamelea.striatula",0,0,0,0,0,0,0,0
"Cirripedia",0,0,0,0,0,0,0,0
"Cirrophorus.furcatus",0,0,0,0,0,0,0,0
"Cirrophorus.nikebianchii",0,0,0,0,0,0,0,0
"Collembola",0,0,0,0,0,0,0,0
"Copepoda",0,0,0,0,0,0,0,0
"Corbula.gibba",0,0,70.72,76.98,49.97,73.9,70.79,72.97
"Corophium.multisetosum",0,0,16.25,23.27,0,26.48,0,0
"Corophium.sp.",0,0,0,0,0,0,0,0
"Corophium.urdaibaiense",0,0,0,0,0,0,0,0
"Corophium.volutator",0,0,0,0,0,0,0,0
"Cossura.pygodactylata",0,0,0,0,0,0,0,0
"Cossura.sp.",0,0,29.63,40,19.05,27.59,26.82,25.07
"Crassostrea.gigas",0,0,0,0,0,0,0,0
"Cumopsis.fagei",0,0,0,0,0,0,0,0
"Cyathura.carinata",0,70.48,0,0,0,0,0,0
"Cylichna.cylindracea",0,0,18.28,16.67,16.17,18.28,0,0
"Decapoda",0,0,0,0,0,0,0,0
"Desdemona.ornata",0,0,0,18.2,0,19.53,0,14.47
"Diastylis.bradyi",0,0,0,0,0,0,0,0
"Diastylis.laevis",0,0,0,0,0,0,0,0
"Diogenes.pugilator",0,0,0,0,0,0,0,0
"Diopatra.micrura",0,0,0,0,0,0,0,0
"Diopatra.neapolitana",0,0,0,0,0,0,0,0
"Diopatra.sp.",0,0,0,0,0,0,0,0
"Diplocirrus.glaucus",0,0,0,0,0,0,0,0
"Diptera",48.88,48.61,40.26,52.55,55.02,47.59,0,0
"Dispio.uncinata",0,0,0,0,0,0,0,0
"Donax.variegatus",0,0,0,0,0,0,0,0
"Dosinia.lupinus",0,0,0,0,0,0,0,15.15
"Ebalia.sp.",0,0,0,0,0,0,0,0
"Echinocardium.cordatum",0,0,0,0,0,0,0,0
"Echiura",0,0,0,0,0,0,0,0
"Edwardsia.sp.",0,0,0,0,0,0,0,0
"Edwardsiidae",0,0,0,0,0,0,0,0
"Elminius.modestus",0,0,0,0,0,0,0,0
"Euclymene.collaris",0,0,0,0,0,0,0,0
"Euclymene.oerstedi",0,0,0,0,0,0,0,0
"Euclymene.oerstedii",0,0,23.79,22.43,28.19,25,0,17.14
"Euclymene.sp.",0,0,0,0,0,0,0,0
"Euglesa.casertana",0,0,0,0,0,0,0,0
"Eulimella.sp.",0,0,0,0,0,0,0,0
"Eumida.bahusiensis",0,0,0,0,0,0,0,0
"Eumida.sanguinea",0,0,0,0,0,0,0,0
"Eumida.sp.",0,0,0,0,0,0,0,0
"Eurydice.affinis",21.24,19.95,0,26.09,0,18.65,48.12,24.66
"Eurydice.naylori",0,0,0,0,0,0,0,0
"Eurydice.pulchra",0,0,0,0,0,0,0,0
"Eurydice.sp.",0,0,0,0,0,0,0,0
"Euspira.nitida",0,0,13.21,16.67,17.07,16.86,0,0
"Exogone.dispar",0,0,0,0,0,0,0,0
"Fabulina.fabula",0,0,0,0,0,0,0,0
"Ficopomatus.enigmaticus",0,0,0,0,0,0,0,0
"Galathowenia.oculata",0,0,0,0,0,0,0,0
"Gallardoneris.iberica",0,0,0,0,0,0,0,0
"Gammarus.chevreuxi",0,0,0,0,0,0,0,0
"Gammarus.sp.",0,0,0,0,0,0,0,0
"Gari.costulata",0,0,0,0,0,0,0,0
"Gari.sp.",0,0,0,0,0,0,0,0
"Gastropoda",0,0,0,0,0,0,0,0
"Gastrosaccus.sanctus",0,0,0,0,0,0,0,0
"Glycera.convoluta",0,0,0,0,0,0,0,0
"Glycera.fallax",0,0,0,0,0,0,0,0
"Glycera.sp.",0,0,0,0,0,0,0,0
"Glycera.tridactyla",0,0,0,0,0,0,0,0
"Glycera.unicornis",0,0,53.51,68.18,38.97,62.07,23.79,35.77
"Golfingia.sp.",0,0,0,0,0,0,0,0
"Goniada.maculata",0,0,0,0,0,0,0,0
"Goniadella.gracilis",0,0,0,0,0,0,0,0
"Goodallia.triangularis",0,0,0,0,0,0,0,0
"Gouldia.minima",0,0,0,0,0,0,0,0
"Grandidierella.japonica",0,0,34.01,39.99,48.84,78.61,0,47.41
"HALACARIDAE",0,0,0,0,0,0,0,0
"Harpinia.pectinata",0,0,0,0,0,0,0,0
"Haustorius.arenarius",0,0,0,0,0,0,0,0
"Hediste.diversicolor",75.78,77.02,0,0,0,0,0,0
"Hemigrapsus.takanoi",0,0,0,0,0,0,0,0
"Hesionidae",0,0,0,0,0,0,0,0
"Heteromastus.filiformis",0,0,0,0,0,31.46,41.23,27.87
"Heterotanais.oerstedi",0,0,0,0,0,0,0,0
"Hippomedon.denticulatus",0,0,0,0,0,0,0,0
"Hyala.vitrea",0,0,22.73,22.73,0,0,13.25,0
"Idotea.chelipes",0,0,0,0,0,0,0,0
"Insecta",0,0,0,0,0,0,0,0
"Iphinoe.tenella",0,0,21.77,17.78,18.6,23.35,0,20.9
"Kirkegaardia.sp.",0,0,0,0,0,0,0,0
"Kurtiella.bidentata",0,0,78.5,83.63,55.64,48.98,0,38.5
"Lagis.koreni",0,0,18.52,0,0,23.22,0,0
"Laonice.cirrata",0,0,18.52,0,0,22.87,0,0
"Lekanesphaera.hookeri",0,0,0,0,0,0,0,0
"Lekanesphaera.rugicauda",0,0,0,0,0,0,0,0
"Lekanesphaera.sp.",0,0,0,0,0,0,0,0
"Lepidochitona.cinerea",0,0,0,0,0,0,0,0
"Leptocheirus.pilosus",0,0,0,0,0,0,0,0
"Leptognathiidae",0,0,0,0,0,0,0,0
"Leptopentacta.elongata",0,0,0,0,0,0,0,0
"Leptosynapta.galliennii",0,0,0,17.39,0,0,0,0
"Leptosynapta.inhaerens",0,0,0,0,0,0,0,0
"Levinsenia.gracilis",0,0,0,0,0,0,0,0
"Lithophaga.lithophaga",0,0,0,0,0,0,0,0
"Loripes.lucinalis",0,0,0,0,0,0,0,0
"Loripes.orbiculatus",0,0,18,15.56,0,20.14,0,20
"Lucinella.divaricata",0,0,0,0,0,0,0,0
"Lucinidae",0,0,0,0,0,0,0,0
"Lumbrineris.lusitanica",0,0,0,0,0,0,0,0
"Macomangulus.tenuis",0,0,0,0,0,0,0,0
"Macropodia.linaresi",0,0,0,0,0,0,0,0
"Mactra.stultorum",0,0,0,0,0,0,0,0
"Magelona.alleni",0,0,0,0,0,20.29,0,17.14
"Magelona.filiformis",0,0,0,0,0,0,0,0
"Magelona.johnstoni",0,0,0,0,0,0,0,0
"Magelona.sp.",0,0,0,0,0,0,0,0
"Malacoceros.fuliginosus",44.39,0,28.16,23.81,18.52,22.73,35.96,0
"Malacoceros.girardi",0,0,0,0,0,0,0,0
"Malacoceros.sp.",27.61,0,0,0,0,0,0,0
"Maldane.glebifex",0,0,0,0,0,0,0,0
"Maldanidae",0,0,0,0,0,0,0,0
"Malmgrenia.andreapolis",0,0,0,0,0,0,0,0
"Malmgrenia.sp.",0,0,0,0,0,0,0,0
"Manayunkia.aestuarina",0,0,0,0,0,0,0,0
"Mangelia.sp.",0,0,0,0,0,0,0,0
"Manzonia.crassa",0,0,0,0,0,0,0,0
"Mediomastus.fragilis",0,0,54.59,61.49,39.41,53.1,0,43.51
"Melarhaphe.neritoides",0,0,0,0,0,0,0,0
"Melinna.palmata",0,0,18.18,0,0,0,0,0
"Melita.hergensis",0,0,0,0,0,0,0,0
"Melita.palmata",0,0,0,0,0,0,0,0
"Melita.sp.",0,0,0,0,0,0,0,0
"Microphthalmus.pseudoaberrans",0,0,0,0,0,0,0,0
"Microphthalmus.sp.",0,0,0,0,0,0,0,0
"Microspio.atlantica",0,0,0,0,0,0,0,0
"Moerella.donacina",0,0,0,0,0,0,0,0
"Monia.patelliformis",0,0,0,0,0,0,0,0
"Monocorophium.acherusicum",0,0,59.22,42.07,0,0,0,0
"Monocorophium.insidiosum",0,0,0,0,0,0,0,0
"Monocorophium.sp.",0,0,0,0,0,0,0,0
"Montacuta.substriata",0,0,0,0,0,0,0,0
"Myosotella.myosotis",0,0,0,0,0,0,0,0
"Mysta.picta",0,0,0,0,0,0,0,0
"Mytilaster.minimus",0,0,0,0,0,0,0,0
"Mytilidae",0,0,0,0,0,0,0,0
"Mytilus.galloprovincialis",0,0,0,0,0,0,0,0
"Neanthes.caudata",44.07,0,25.98,25.98,17.48,29.26,32.79,0
"Nematoda",50.29,0,0,0,0,0,52.46,0
"NEMERTEA",0,0,50.71,43.92,28.46,46.03,25.76,29.17
"Nephtys.assimilis",0,0,0,0,0,0,0,0
"Nephtys.cirrosa",52.94,53.21,30.61,73.11,24.17,0,25,24.53
"Nephtys.hombergii",0,0,0,0,0,33.98,0,32.52
"Nephtys.hystricis",0,0,0,0,0,0,0,0
"Nephtys.incisa",0,0,0,0,0,0,0,0
"Nephtys.kersivalensis",0,0,0,0,0,0,0,0
"Nereis.lamellosa",0,0,0,0,0,0,0,0
"Nereis.sp.",0,0,0,0,0,0,0,0
"Notomastus.latericeus",0,0,74.77,75.08,44.76,39.76,0,33.84
"Nototropis.falcatus",0,0,0,0,0,0,0,0
"Nototropis.swammerdamei",0,0,0,0,0,0,0,0
"Nucula.sulcata",0,0,17.98,16.67,17.07,20.5,0,0
"Odostomia.sp.",0,0,0,0,0,0,0,0
"Oligochaeta",86.78,83.06,0,73.31,0,0,75.97,81
"Onuphis.eremita",0,0,0,0,0,0,0,0
"Onuphis.sp.",0,0,0,0,0,0,0,0
"Ophelia.bicornis",0,0,0,0,0,0,0,0
"Ophelia.neglecta",0,0,0,0,0,0,0,0
"Ophiodromus.flexuosus",0,0,54.97,59.53,41.68,51.67,44.74,36.87
"Ophiura.ophiura",0,0,0,0,0,0,0,0
"Ophryotrocha.sp.",0,0,37.08,30.68,25,32.43,44.75,22.99
"Orbinia.sp.",0,0,0,0,0,0,0,0
"OSTRACODA",0,0,0,0,0,0,0,0
"Ostrea.edulis",0,0,0,0,0,0,0,0
"Oudardia.compressa",0,0,0,0,0,0,0,0
"Owenia.fusiformis",0,0,0,0,0,0,0,0
"Palaemon.serratus",0,0,0,0,0,0,0,0
"Pandora.inaequivalvis",0,0,0,0,0,0,0,0
"Papillicardium.papillosum",0,0,0,0,0,0,0,0
"Paradoneis.armata",0,21.52,0,0,16.47,20.06,0,0
"Paradoneis.ilvana",0,0,0,0,0,0,0,0
"Paradoneis.lyra",0,0,0,0,0,0,0,0
"Paragnathia.formica",0,0,22.45,21.04,0,0,0,44.28
"Paramphitrite.tetrabranchia",0,0,0,0,0,0,0,0
"Paraonis.fulgens",0,0,0,0,0,0,0,0
"Parapionosyllis.elegans",0,0,0,0,0,0,0,0
"Parapionosyllis.minuta",0,0,0,0,0,0,0,0
"Pariambus.typicus",0,0,0,0,0,0,0,0
"Parvicardium.ovale",0,0,0,0,0,0,0,0
"Parvicardium.scabrum",0,0,0,0,0,0,0,0
"Parvicardium.sp.",0,0,0,0,0,0,0,0
"Pectinaria.auricoma",0,0,0,0,0,0,0,0
"Peringia.ulvae",0,0,0,69.46,0,0,0,0
"Perioculodes.longimanus",0,0,0,0,0,0,0,0
"Petricolaria.pholadiformis",0,0,0,0,0,0,0,0
"Phascolion.strombus",0,0,0,0,0,0,0,0
"Philine.sp.",0,0,0,0,0,0,0,0
"Phoronis.sp.",0,0,0,0,0,0,0,0
"Phtisica.marina",0,0,0,0,0,0,0,0
"Phyllodoce.groenlandica",0,0,0,0,0,0,0,0
"Phyllodoce.laminosa",0,0,0,0,0,0,0,0
"Phyllodoce.lineata",0,0,18.77,0,0,0,0,0
"Phyllodoce.maculata",0,0,0,0,0,0,0,0
"Phyllodoce.mucosa",0,0,0,0,0,0,0,0
"Phyllodoce.sp.",0,0,0,0,0,0,0,0
"Phyllodocidae",0,0,22.73,0,14.29,17.24,0,0
"Phylo.foetida",0,0,0,0,0,0,0,0
"Pilargis.verrucosa",0,0,18.18,0,0,0,0,0
"Pionosyllis.anophthalma",0,0,0,0,0,0,0,0
"Pisidia.sp.",0,0,0,0,0,0,0,0
"Platyhelminthes",0,0,0,0,0,0,0,0
"Podarkeopsis.capensis",0,0,16.67,19.23,0,19.23,0,0
"Podarkeopsis.sp.",0,0,18.18,0,0,0,0,0
"Podocoryna.carnea",0,0,0,0,0,0,0,0
"Poecilochaetus.serpens",0,0,0,0,0,0,0,0
"Polititapes.rhomboides",0,0,0,0,0,0,0,0
"Polycirrus.sp.",0,0,25.83,34.78,35.11,29.97,0,39.7
"Polydora.ciliata",0,0,0,0,33.25,0,0,18.75
"Polydora.cornuta",0,33.54,61.77,74.15,49.16,41.01,34.87,43.06
"Polydora.flava",0,0,0,0,0,0,0,0
"Polydora.sp.",0,0,36.36,0,21.05,59.98,0,0
"Polynoidae",0,0,0,0,0,0,0,0
"Potamopyrgus.antipodarum",0,0,0,0,0,0,0,0
"Prionospio.fallax",0,0,28.76,32.44,23.68,30.52,0,30.18
"Prionospio.multibranchiata",0,0,0,0,0,0,0,0
"Prionospio.pulchra",0,0,0,0,0,0,0,0
"Prionospio.sp.",0,0,0,0,0,0,0,0
"Prosphaerosyllis.sp.",0,0,0,0,0,0,0,0
"Prosphaerosyllis.tetralix",0,0,0,0,0,0,0,0
"Protodorvillea.kefersteini",0,0,0,0,0,0,0,0
"Pseudomystides.limbata",0,0,0,0,0,0,0,0
"Pseudopolydora.paucibranchiata",0,0,64.79,60.76,49.26,57.82,0,45.58
"Pseudopolydora.pulchra",0,0,0,0,0,0,0,0
"Pseudopythina.macandrewi",0,0,0,0,0,0,0,0
"Pygospio.elegans",0,0,15.59,0,20.38,15.17,0,0
"Retusa.sp.",0,0,0,0,0,0,0,0
"Ringicula.auriculata",0,0,0,0,0,0,0,0
"Ringicula.conformis",0,0,0,0,0,0,0,0
"Ringicula.sp.",0,0,0,0,0,0,0,0
"Ruditapes.decussatus",0,21.74,0,0,0,0,40.56,0
"Ruditapes.philippinarum",0,0,0,0,0,0,0,0
"Ruditapes.sp.",0,0,0,0,0,0,0,0
"Sabellaria.spinulosa",0,0,0,0,0,0,0,0
"Scalibregma.inflatum",0,0,0,0,0,0,0,0
"Schistomeringos.caeca",0,0,0,0,0,0,0,0
"Schistomeringos.rudolphi",0,0,0,0,0,0,0,0
"Schistomeringos.rudolphii",0,0,0,0,0,0,0,0
"Schistomeringos.sp.",0,0,0,0,0,0,0,0
"Schistomysis.kervillei",0,0,0,0,0,0,0,0
"Scolelepis.bonnieri",0,0,0,0,0,0,0,0
"Scolelepis.sp.",0,0,0,0,0,0,0,0
"Scolelepis.squamata",34.59,34.59,0,27.54,0,0,20.88,17.65
"Scoloplos.sp.",0,0,0,0,0,0,0,0
"Scoloplos.typicus",0,0,0,0,0,0,0,0
"Scrobicularia.plana",0,57.97,0,0,0,0,0,59.07
"Semelidae",0,0,0,0,0,0,0,0
"Serratina.serrata",0,0,0,0,0,0,0,0
"Sigalion.mathildae",0,0,0,0,0,0,0,0
"Solen.marginatus",0,0,48.89,36.36,23.84,0,0,33.33
"Solenidae",0,0,0,0,0,0,0,0
"Sphaerosyllis.sp.",0,0,0,0,0,0,0,0
"Spio.decoratus",0,0,0,0,0,0,0,0
"Spio.martinensis",0,0,0,0,0,0,0,0
"Spio.sp.",0,0,0,0,0,0,0,0
"Spiochaetopterus.costarum",0,0,24.95,21.43,18.96,27.74,0,20.68
"Spionidae",0,0,0,0,0,0,0,0
"Spiophanes.bombyx",0,0,0,0,0,0,0,0
"Spiophanes.kroyeri",0,0,0,0,0,0,0,0
"Spisula.elliptica",0,0,0,0,0,0,0,0
"Spisula.sp.",0,0,0,0,0,0,0,0
"Spisula.subtruncata",0,0,0,0,0,0,0,0
"Sternaspis.scutata",0,0,15.62,22.73,0,17.86,0,0
"Sthenelais.boa",0,0,0,0,0,0,0,0
"Sthenelais.limicola",0,0,0,0,0,0,0,0
"Streblosoma.sp.",0,0,0,0,0,0,0,0
"Streblospio.benedicti",0,0,0,0,0,0,0,0
"Streblospio.shrubsolii",75.88,76.78,65.75,65.62,0,65.93,0,70.46
"Streptosyllis.websteri",0,0,0,0,0,0,0,0
"Syllidia.armata",0,0,0,0,0,0,0,0
"Syllis.gracilis",0,0,0,0,0,0,0,0
"Syllis.parapari",0,0,0,0,0,0,0,0
"Syllis.rosea",0,0,0,0,0,0,0,0
"Syllis.sp.",0,0,0,0,0,0,0,0
"Synchelidium.haplocheles",0,0,0,0,0,0,0,0
"Tanystylum.conirostre",0,0,0,0,0,0,0,0
"Tapes.sp.",0,18.49,0,0,0,0,0,0
"Tellimya.ferruginosa",0,0,0,0,0,0,0,0
"Tellina.serrata",0,0,0,0,0,0,0,0
"Terebellidae",0,0,0,0,0,0,0,0
"Terebellides.stroemii",0,0,0,0,0,0,0,0
"Terebellinae",0,0,0,0,0,0,0,0
"Teredo.navalis",0,0,0,0,0,0,0,0
"Tharyx.killariensis",0,0,0,0,0,0,0,0
"Theora.lubrica",0,0,45.26,49.85,32.96,44.83,47.73,24.36
"Thracia.phaseolina",0,0,0,0,0,0,0,0
"Thyasira.flexuosa",0,0,19.31,15.56,13.86,23.17,0,20.59
"Trematoda",0,0,0,0,0,0,0,0
"Tritia.incrassata",0,0,0,0,0,0,0,0
"Tritia.neritea",0,0,0,0,0,0,0,0
"Tritia.nitida",0,0,58.09,28.79,47.98,58.09,0,0
"Tritia.pygmaea",0,0,35.58,41.58,28.76,41.2,0,47.73
"Tritia.reticulata",0,0,25.26,27.07,21.24,27.3,0,21.85
"Tubulanus.polymorphus",0,0,48.26,65.39,37.57,81.68,26.08,63.47
"Upogebia.deltaura",0,0,0,0,0,0,0,0
"Upogebia.pusilla",0,0,0,0,0,0,0,0
"Upogebia.sp.",0,0,0,0,0,0,0,0
"Urothoe.brevicornis",0,0,0,0,0,0,0,0
"Urothoe.grimaldii",0,0,0,0,0,0,0,0
"Urothoe.pulchella",0,0,0,0,0,0,0,0
"Urothoe.sp.",0,0,0,0,0,0,0,0
"Venerida",0,0,0,0,0,0,0,0
"Veneridae",0,0,0,0,0,0,0,0
"Venus.casina",0,0,0,0,0,0,0,0
"Virgularia.sp.",0,0,0,0,0,0,0,0
"Vitreolina.philippi",0,0,0,0,0,0,0,0
"Xenostrobus.securis",0,0,0,0,0,0,0,0
